Maximized_for_Method,Preprocessing_Method,LS_Mean,LS_Std,LS_Shapiro_Stat,LS_Shapiro_Pval,LS_Ttest_Stat,LS_Ttest_Pval,LDA_Mean,LDA_Std,LDA_Shapiro_Stat,LDA_Shapiro_Pval,LDA_Ttest_Stat,LDA_Ttest_Pval,SVM_Mean,SVM_Std,SVM_Shapiro_Stat,SVM_Shapiro_Pval,SVM_Ttest_Stat,SVM_Ttest_Pval,Num_Subjects
RPCA_L,CAR,65.88541666666666,17.2564117260722,0.8035346362476169,0.0030355074163141843,,,65.10416666666666,18.915645622223828,0.9146140980817572,0.13812219649031648,,,78.12500000000001,16.237976320958225,0.8735874014011373,0.030872138457555206,,,16
RPCA_L,RPCA_L,56.77083333333333,20.77465695331159,0.9563130255015962,0.5956997688563015,2.819770100280088,0.012933130174053275,56.250000000000014,20.833333333333336,0.9666111506238991,0.7811795581191192,2.5267348113858765,0.023244715865241666,74.47916666666667,11.493789838913495,0.9516089634811485,0.5155994723764599,1.3853014300935815,0.18621638217553016,16
RPCA_L,RPCA_S,58.854166666666664,15.441632375389162,0.9482317431567686,0.4622037438373489,1.5985942644528874,0.13075805225620662,59.114583333333336,16.01721282779352,0.9666456057095015,0.7817844039730097,1.229753121040086,0.23772980706896382,75.26041666666666,16.955105011102116,0.9107385672506321,0.11960572392572995,0.7779471279664858,0.4486976559991869,16
RPCA_L,CAR_RPCA_L,55.98958333333335,21.244318582826118,0.9156944353796237,0.1437767262986821,2.07719547367516,0.05537712218258966,57.03125,22.569277510066403,0.9486136171016949,0.46804804765588637,1.7302512737764375,0.10409978122940992,71.35416666666667,20.0300880448223,0.9076618382191077,0.10670028149716167,2.7508479018485326,0.014860842063286308,16
RPCA_L,CAR_RPCA_S,55.46875,20.556427991526967,0.9356362237291103,0.2989475798417391,1.951180821703814,0.06996906027724173,55.98958333333333,19.65240202575615,0.9418656194698818,0.3724977765502284,1.923386634706435,0.07362369154299693,76.5625,15.72019611748601,0.9503340011013193,0.49499679776827027,0.6764814252025465,0.5090327408169084,16
RPCA_S,CAR,65.88541666666666,17.2564117260722,0.8035346362476169,0.0030355074163141843,,,65.10416666666666,18.915645622223828,0.9146140980817572,0.13812219649031648,,,78.12500000000001,16.237976320958225,0.8735874014011373,0.030872138457555206,,,16
RPCA_S,RPCA_L,50.0,14.052851628366708,0.8747096377336151,0.032126796478960155,4.948838735165895,0.00017490155175187917,49.739583333333336,12.27830753554821,0.9418422223740089,0.3721953977342391,3.838946546156983,0.0016098601822958736,61.97916666666667,15.229366163764007,0.9350156686749493,0.2923652890328319,4.607575244291892,0.0003418101237632569,16
RPCA_S,RPCA_S,68.22916666666667,18.034676763729983,0.8725574906349305,0.02976597140079248,-0.6425294053171788,0.5302285967184988,68.22916666666667,18.333037402914623,0.8823548991868507,0.04223122589948988,-0.7164551519745492,0.4847166429489901,90.88541666666667,11.896795604687936,0.7713562006933996,0.001162670645715325,-4.631443405319405,0.000326025544469997,16
RPCA_S,CAR_RPCA_L,47.135416666666664,18.963984391289074,0.9394295334169279,0.34208486930781373,4.166190448976481,0.0008275648477878135,46.87499999999999,18.546347723713392,0.9385906864110347,0.332108492435355,3.8264127146647686,0.0016516160913194577,63.80208333333335,17.59884966549266,0.9297331773755857,0.24142752282101534,4.2921620773703975,0.0006418459625509407,16
RPCA_S,CAR_RPCA_S,64.32291666666666,16.20243773989821,0.955765241257501,0.5860835856389934,0.4217411678366501,0.6791958291820006,61.71875,15.182537340779593,0.9764306508304712,0.9289388118633647,0.8151578415767964,0.42773591942806066,85.93749999999999,13.965716331033255,0.8492054403786122,0.013262710942817816,-2.82466341433016,0.012805919279759128,16
CAR_RPCA_L,CAR,65.88541666666666,17.2564117260722,0.8035346362476169,0.0030355074163141843,,,65.10416666666666,18.915645622223828,0.9146140980817572,0.13812219649031648,,,78.12500000000001,16.237976320958225,0.8735874014011373,0.030872138457555206,,,16
CAR_RPCA_L,RPCA_L,58.854166666666664,18.742764807756856,0.9179870145078299,0.1565488562146856,2.020333368652986,0.061578062027417745,59.375,17.147997534535758,0.9148292906907518,0.13923057328125554,1.789150133738978,0.09379843706725355,67.1875,18.333037402914627,0.9313739004682877,0.2563014983076917,5.446437104203522,6.751319476740675e-05,16
CAR_RPCA_L,RPCA_S,55.729166666666664,16.52774130481503,0.9773103670740271,0.9386436593975711,2.104575263883712,0.05260034171330289,55.989583333333336,17.177632900042166,0.9632596693253591,0.7211278116029555,1.78500196350324,0.09449336130406553,74.73958333333334,15.82982074523868,0.8792469776447563,0.037771678121178195,1.1194147895586117,0.2805686910531327,16
